freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
9212.058,6.0197,3.8645,nan,nan,nan,nan
9297.467,6.0197,3.8411,nan,nan,nan,nan
9383.669,6.0198,3.8170,nan,nan,nan,nan
9470.670,6.0198,3.7922,nan,nan,nan,nan
9558.477,6.0198,3.7669,nan,nan,nan,nan
9647.099,6.0199,3.7408,nan,nan,nan,nan
9736.542,6.0199,3.7142,nan,nan,nan,nan
9826.815,6.0199,3.6869,nan,nan,nan,nan
9917.924,6.0199,3.6590,nan,nan,nan,nan
10009.878,6.0200,3.6305,nan,nan,nan,nan
10102.685,6.0200,3.6014,nan,nan,nan,nan
10196.352,6.0200,3.5716,nan,nan,nan,nan
10290.888,6.0200,3.5414,nan,nan,nan,nan
10386.300,6.0201,3.5105,nan,nan,nan,nan
10482.597,6.0201,3.4791,nan,nan,nan,nan
10579.786,6.0201,3.4646,nan,nan,nan,nan
10677.877,6.0201,3.4605,nan,nan,nan,nan
10776.877,6.0201,3.4556,nan,nan,nan,nan
10876.795,6.0201,3.4496,nan,nan,nan,nan
10977.639,6.0202,3.4428,nan,nan,nan,nan
11079.419,6.0202,3.4350,nan,nan,nan,nan
11182.142,6.0202,3.4263,nan,nan,nan,nan
11285.817,6.0202,3.4166,nan,nan,nan,nan
11390.454,6.0202,3.4061,nan,nan,nan,nan
11496.060,6.0202,3.3946,nan,nan,nan,nan
11602.646,6.0202,3.3822,nan,nan,nan,nan
11710.220,6.0203,3.3690,nan,nan,nan,nan
11818.792,6.0203,3.3548,nan,nan,nan,nan
11928.370,6.0203,3.3398,nan,nan,nan,nan
12038.964,6.0203,3.3240,nan,nan,nan,nan
12150.583,6.0203,3.3074,nan,nan,nan,nan
12263.238,6.0203,3.2899,nan,nan,nan,nan
12376.936,6.0203,3.2717,nan,nan,nan,nan
12491.689,6.0203,3.2527,nan,nan,nan,nan
12607.506,6.0203,3.2330,nan,nan,nan,nan
12724.397,6.0204,3.2126,nan,nan,nan,nan
12842.371,6.0204,3.1914,nan,nan,nan,nan
12961.440,6.0204,3.1697,nan,nan,nan,nan
13081.612,6.0204,3.1473,nan,nan,nan,nan
