freq_Hz,mk2_sum_dB,mk3_sum_dB,mk2_woof_dB,mk3_mid_dB,mk3_tweeter_dB,baffle_step_dB,wg_loading_mk2_dB,wg_loading_mk3_dB
49.04,80.4273,80.4273,80.2787,45.0161,-56.5596,-5.7398,0.2172,0.5542
49.21,80.4451,80.4451,80.2947,45.1383,-56.4373,-5.7379,0.2174,0.5548
49.38,80.4627,80.4627,80.3105,45.2605,-56.3150,-5.7360,0.2177,0.5553
49.55,80.4803,80.4803,80.3262,45.3827,-56.1928,-5.7341,0.2179,0.5559
49.73,80.4978,80.4978,80.3418,45.5048,-56.0705,-5.7322,0.2181,0.5564
49.90,80.5151,80.5151,80.3572,45.6270,-55.9482,-5.7303,0.2183,0.5570
50.08,80.5324,80.5324,80.3726,45.7492,-55.8260,-5.7284,0.2185,0.5575
50.25,80.5496,80.5496,80.3878,45.8713,-55.7037,-5.7264,0.2188,0.5581
50.43,80.5666,80.5666,80.4028,45.9935,-55.5814,-5.7245,0.2190,0.5587
50.61,80.5836,80.5836,80.4178,46.1156,-55.4592,-5.7225,0.2192,0.5592
50.79,80.6005,80.6005,80.4326,46.2377,-55.3369,-5.7205,0.2194,0.5598
50.96,80.6172,80.6172,80.4473,46.3598,-55.2146,-5.7186,0.2196,0.5603
51.14,80.6339,80.6339,80.4619,46.4820,-55.0923,-5.7166,0.2199,0.5609
51.32,80.6505,80.6505,80.4764,46.6041,-54.9701,-5.7145,0.2201,0.5614
51.50,80.6670,80.6670,80.4907,46.7261,-54.8478,-5.7125,0.2203,0.5620
51.68,80.6834,80.6834,80.5049,46.8482,-54.7255,-5.7105,0.2205,0.5625
51.86,80.6997,80.6997,80.5190,46.9703,-54.6033,-5.7084,0.2207,0.5631
52.05,80.7159,80.7159,80.5330,47.0923,-54.4810,-5.7064,0.2210,0.5636
52.23,80.7320,80.7320,80.5468,47.2144,-54.3587,-5.7043,0.2212,0.5642
52.41,80.7480,80.7480,80.5606,47.3364,-54.2364,-5.7022,0.2214,0.5648
52.60,80.7640,80.7640,80.5742,47.4584,-54.1142,-5.7001,0.2216,0.5653
52.78,80.7798,80.7798,80.5877,47.5804,-53.9919,-5.6980,0.2218,0.5659
52.97,80.7956,80.7956,80.6011,47.7024,-53.8696,-5.6958,0.2221,0.5664
53.15,80.8113,80.8113,80.6143,47.8244,-53.7473,-5.6937,0.2223,0.5670
53.34,80.8269,80.8269,80.6275,47.9464,-53.6251,-5.6915,0.2225,0.5675
53.53,80.8424,80.8424,80.6405,48.0683,-53.5028,-5.6894,0.2227,0.5681
53.71,80.8578,80.8578,80.6534,48.1903,-53.3805,-5.6872,0.2229,0.5687
53.90,80.8732,80.8732,80.6662,48.3122,-53.2582,-5.6850,0.2232,0.5692
54.09,80.8884,80.8884,80.6788,48.4341,-53.1360,-5.6828,0.2234,0.5698
54.28,80.9036,80.9036,80.6914,48.5560,-53.0137,-5.6806,0.2236,0.5703
54.47,80.9187,80.9187,80.7038,48.6779,-52.8914,-5.6783,0.2238,0.5709
54.66,80.9337,80.9337,80.7162,48.7998,-52.7691,-5.6761,0.2241,0.5715
54.85,80.9487,80.9486,80.7284,48.9216,-52.6469,-5.6738,0.2243,0.5720
55.05,80.9635,80.9635,80.7405,49.0435,-52.5246,-5.6715,0.2245,0.5726
55.24,80.9783,80.9783,80.7525,49.1653,-52.4023,-5.6692,0.2247,0.5732
55.43,80.9930,80.9930,80.7643,49.2871,-52.2800,-5.6669,0.2250,0.5737
55.63,81.0076,81.0076,80.7761,49.4089,-52.1578,-5.6646,0.2252,0.5743
55.82,81.0222,81.0222,80.7877,49.5307,-52.0355,-5.6623,0.2254,0.5748
