freq_Hz,harman_inroom_dB,bbc_inroom_dB,harman_target_dB,bbc_target_dB,harman_postdsp_dB,bbc_postdsp_dB
155.81,1.2610,0.5812,1.0211,0.7334,1.0249,0.7363
156.36,1.2584,0.5814,1.0160,0.7301,1.0198,0.7329
156.91,1.2558,0.5816,1.0110,0.7267,1.0148,0.7295
157.46,1.2532,0.5817,1.0059,0.7234,1.0098,0.7262
158.01,1.2505,0.5818,1.0009,0.7201,1.0048,0.7229
158.57,1.2477,0.5818,0.9959,0.7167,0.9999,0.7197
159.12,1.2448,0.5818,0.9909,0.7134,0.9951,0.7165
159.68,1.2419,0.5817,0.9860,0.7101,0.9903,0.7134
160.24,1.2389,0.5816,0.9810,0.7068,0.9857,0.7104
160.80,1.2359,0.5814,0.9761,0.7035,0.9810,0.7074
161.37,1.2328,0.5812,0.9711,0.7002,0.9764,0.7043
161.93,1.2295,0.5809,0.9662,0.6969,0.9716,0.7012
162.50,1.2262,0.5804,0.9613,0.6936,0.9668,0.6980
163.07,1.2227,0.5799,0.9565,0.6903,0.9620,0.6947
163.65,1.2191,0.5792,0.9516,0.6871,0.9570,0.6914
164.22,1.2154,0.5784,0.9468,0.6838,0.9521,0.6880
164.80,1.2115,0.5775,0.9419,0.6805,0.9470,0.6845
165.37,1.2074,0.5764,0.9371,0.6773,0.9419,0.6809
165.95,1.2032,0.5752,0.9323,0.6740,0.9368,0.6773
166.54,1.1989,0.5738,0.9275,0.6708,0.9316,0.6735
167.12,1.1943,0.5723,0.9228,0.6676,0.9263,0.6697
167.71,1.1896,0.5706,0.9180,0.6643,0.9209,0.6658
168.30,1.1847,0.5687,0.9133,0.6611,0.9155,0.6618
168.89,1.1795,0.5666,0.9085,0.6579,0.9099,0.6578
169.48,1.1742,0.5643,0.9038,0.6547,0.9043,0.6536
170.07,1.1708,0.5641,0.8992,0.6515,0.9007,0.6515
170.67,1.1672,0.5638,0.8945,0.6483,0.8970,0.6494
171.27,1.1635,0.5634,0.8898,0.6451,0.8932,0.6470
171.87,1.1596,0.5628,0.8852,0.6419,0.8891,0.6445
172.47,1.1556,0.5619,0.8806,0.6388,0.8849,0.6417
173.08,1.1512,0.5609,0.8759,0.6356,0.8804,0.6387
173.69,1.1467,0.5597,0.8714,0.6324,0.8758,0.6355
174.30,1.1420,0.5582,0.8668,0.6293,0.8709,0.6321
174.91,1.1370,0.5566,0.8622,0.6261,0.8659,0.6284
175.52,1.1318,0.5547,0.8577,0.6230,0.8606,0.6244
176.14,1.1263,0.5525,0.8531,0.6199,0.8551,0.6203
176.76,1.1206,0.5502,0.8486,0.6167,0.8494,0.6159
177.38,1.1146,0.5475,0.8441,0.6136,0.8434,0.6112
178.00,1.1083,0.5446,0.8397,0.6105,0.8372,0.6062
178.62,1.1017,0.5415,0.8352,0.6074,0.8308,0.6011
179.25,1.0949,0.5380,0.8307,0.6043,0.8241,0.5956
179.88,1.0900,0.5366,0.8263,0.6012,0.8194,0.5922
180.51,1.0875,0.5378,0.8219,0.5981,0.8173,0.5917
181.15,1.0847,0.5388,0.8175,0.5951,0.8154,0.5912
181.78,1.0818,0.5396,0.8131,0.5920,0.8135,0.5908
182.42,1.0786,0.5402,0.8088,0.5889,0.8111,0.5899
183.06,1.0752,0.5406,0.8044,0.5859,0.8078,0.5881
183.70,1.0716,0.5407,0.8001,0.5828,0.8037,0.5855
184.35,1.0677,0.5407,0.7958,0.5798,0.7988,0.5820
184.99,1.0636,0.5403,0.7915,0.5768,0.7930,0.5777
185.64,1.0592,0.5398,0.7872,0.5738,0.7865,0.5726
186.29,1.0546,0.5390,0.7829,0.5707,0.7791,0.5666
186.95,1.0498,0.5379,0.7787,0.5677,0.7708,0.5599
187.60,1.0446,0.5366,0.7744,0.5647,0.7618,0.5523
188.26,1.0393,0.5351,0.7702,0.5618,0.7519,0.5438
188.92,1.0336,0.5332,0.7660,0.5588,0.7412,0.5345
189.59,1.0277,0.5312,0.7618,0.5558,0.7297,0.5244
190.25,1.0215,0.5288,0.7577,0.5528,0.7174,0.5135
190.92,1.0092,0.5200,0.7535,0.5499,0.6987,0.4959
191.59,0.9964,0.5107,0.7494,0.5469,0.6793,0.4776
192.26,0.9832,0.5010,0.7452,0.5440,0.6595,0.4588
192.94,0.9915,0.5127,0.7411,0.5410,0.6609,0.4614
193.61,1.0078,0.5325,0.7371,0.5381,0.6704,0.4720
194.29,1.0237,0.5519,0.7330,0.5352,0.6795,0.4822
194.97,1.0392,0.5709,0.7289,0.5323,0.6880,0.4919
195.66,1.0542,0.5894,0.7249,0.5294,0.6962,0.5012
196.35,1.0689,0.6076,0.7209,0.5265,0.7038,0.5100
197.03,1.0831,0.6253,0.7169,0.5236,0.7111,0.5185
197.73,1.0969,0.6426,0.7129,0.5207,0.7179,0.5265
198.42,1.1103,0.6595,0.7089,0.5179,0.7242,0.5341
199.12,1.1233,0.6759,0.7050,0.5150,0.7302,0.5413
199.81,1.1358,0.6919,0.7010,0.5121,0.7357,0.5481
200.52,1.1479,0.7075,0.6971,0.5093,0.7409,0.5546
201.22,1.1596,0.7227,0.6932,0.5065,0.7456,0.5606
