freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
734.785,0.0000,-0.0793,-0.5032,-0.3988,0.3988,-0.1948,0.0000,-0.0744,-0.4709,-0.3735,0.3735,-0.1827
741.598,0.0000,-0.0805,-0.5106,-0.4046,0.4046,-0.1976,0.0000,-0.0753,-0.4768,-0.3781,0.3781,-0.1849
748.473,0.0000,-0.0817,-0.5180,-0.4105,0.4105,-0.2004,0.0000,-0.0762,-0.4826,-0.3827,0.3827,-0.1872
755.413,0.0000,-0.0828,-0.5255,-0.4163,0.4163,-0.2032,0.0000,-0.0771,-0.4885,-0.3873,0.3873,-0.1894
762.417,0.0000,-0.0840,-0.5330,-0.4222,0.4222,-0.2060,0.0000,-0.0781,-0.4943,-0.3919,0.3919,-0.1915
769.485,0.0000,-0.0852,-0.5405,-0.4281,0.4281,-0.2088,0.0000,-0.0790,-0.5001,-0.3965,0.3965,-0.1937
776.620,0.0000,-0.0864,-0.5481,-0.4341,0.4341,-0.2116,0.0000,-0.0799,-0.5059,-0.4010,0.4010,-0.1959
783.820,0.0000,-0.0876,-0.5557,-0.4400,0.4400,-0.2144,0.0000,-0.0808,-0.5116,-0.4055,0.4055,-0.1980
791.087,0.0000,-0.0888,-0.5633,-0.4460,0.4460,-0.2173,0.0000,-0.0817,-0.5173,-0.4100,0.4100,-0.2002
798.422,0.0000,-0.0900,-0.5710,-0.4520,0.4520,-0.2201,0.0000,-0.0826,-0.5229,-0.4144,0.4144,-0.2023
805.824,0.0000,-0.0912,-0.5786,-0.4580,0.4580,-0.2230,0.0000,-0.0835,-0.5285,-0.4188,0.4188,-0.2043
813.296,0.0000,-0.0924,-0.5863,-0.4640,0.4640,-0.2258,0.0000,-0.0844,-0.5340,-0.4231,0.4231,-0.2064
820.836,0.0000,-0.0936,-0.5939,-0.4700,0.4700,-0.2286,0.0000,-0.0852,-0.5395,-0.4274,0.4274,-0.2084
828.446,0.0000,-0.0948,-0.6016,-0.4760,0.4760,-0.2315,0.0000,-0.0861,-0.5449,-0.4316,0.4316,-0.2105
836.127,0.0000,-0.0960,-0.6092,-0.4819,0.4819,-0.2343,0.0000,-0.0870,-0.5502,-0.4358,0.4358,-0.2124
843.880,0.0000,-0.0972,-0.6168,-0.4879,0.4879,-0.2371,0.0000,-0.0878,-0.5554,-0.4399,0.4399,-0.2144
851.704,0.0000,-0.0984,-0.6244,-0.4938,0.4938,-0.2399,0.0000,-0.0886,-0.5605,-0.4439,0.4439,-0.2163
859.600,0.0000,-0.0996,-0.6320,-0.4998,0.4998,-0.2427,0.0000,-0.0894,-0.5655,-0.4479,0.4479,-0.2182
867.570,0.0000,-0.1008,-0.6395,-0.5057,0.5057,-0.2455,0.0000,-0.0902,-0.5705,-0.4517,0.4517,-0.2200
875.614,0.0000,-0.1020,-0.6470,-0.5115,0.5115,-0.2482,0.0000,-0.0910,-0.5753,-0.4555,0.4555,-0.2218
883.732,0.0000,-0.1032,-0.6545,-0.5173,0.5173,-0.2510,0.0000,-0.0918,-0.5800,-0.4592,0.4592,-0.2235
891.926,0.0000,-0.1044,-0.6618,-0.5231,0.5231,-0.2537,0.0000,-0.0925,-0.5846,-0.4628,0.4628,-0.2252
900.195,0.0000,-0.1055,-0.6692,-0.5288,0.5288,-0.2564,0.0000,-0.0932,-0.5890,-0.4663,0.4663,-0.2269
908.541,0.0000,-0.1067,-0.6764,-0.5345,0.5345,-0.2590,0.0000,-0.0939,-0.5934,-0.4697,0.4697,-0.2285
916.965,0.0000,-0.1078,-0.6836,-0.5401,0.5401,-0.2617,0.0000,-0.0946,-0.5976,-0.4730,0.4730,-0.2301
925.466,0.0000,-0.1090,-0.6907,-0.5457,0.5457,-0.2643,0.0000,-0.0953,-0.6016,-0.4762,0.4762,-0.2316
934.047,0.0000,-0.1101,-0.6977,-0.5512,0.5512,-0.2668,0.0000,-0.0959,-0.6055,-0.4793,0.4793,-0.2330
942.707,0.0000,-0.1112,-0.7047,-0.5566,0.5566,-0.2694,0.0000,-0.0966,-0.6093,-0.4822,0.4822,-0.2344
951.447,0.0000,-0.1123,-0.7115,-0.5619,0.5619,-0.2719,0.0000,-0.0972,-0.6129,-0.4851,0.4851,-0.2358
