freq_hz,woofer_raw_db,woofer_sealed_db,woofer_pair_baffle_db,woofer_filtered_db,mid_raw_db,mid_baffle_db,mid_filtered_db,tweeter_raw_db,tweeter_wg_db,tweeter_filtered_db,tweeter_final_db,system_sum_db,coherent_sum_db
20.00,71.1100,78.5118,87.5227,87.5199,,,,,,,,,
20.59,72.7122,78.9294,87.9397,87.9366,,,,,,,,,
21.19,74.3143,79.3411,88.3507,88.3473,,,,,,,,,
21.81,75.7882,79.7464,88.7554,88.7515,,,,,,,,,
22.45,77.2600,80.1449,89.1532,89.1489,,,,,,,,,
23.11,77.7277,80.5358,89.5434,89.5385,,,,,,,,,
23.79,78.1816,80.9192,89.9260,89.9205,,,,,,,,,
24.48,77.9032,81.2940,90.3000,90.2938,,,,,,,,,
25.20,77.6109,81.6604,90.6655,90.6586,,,,,,,,,
25.94,77.8393,82.0183,91.0225,91.0147,,,,,,,,,
26.70,78.0879,82.3671,91.3703,91.3616,,,,,,,,,
27.49,78.5904,82.7066,91.7088,91.6990,,,,,,,,,
28.29,79.1058,83.0364,92.0375,92.0265,,,,,,,,,
29.12,79.6121,83.3561,92.3560,92.3437,,,,,,,,,
29.98,80.1180,83.6654,92.6641,92.6503,,,,,,,,,
30.85,80.7159,83.9643,92.9617,92.9462,,,,,,,,,
31.76,81.3199,84.2525,93.2485,93.2311,,,,,,,,,
32.69,81.8299,84.5296,93.5242,93.5046,,,,,,,,,
33.65,82.3333,84.7957,93.7888,93.7668,,,,,,,,,
34.64,82.9779,85.0511,94.0426,94.0179,,,,,,,,,
35.65,83.6337,85.2957,94.2854,94.2577,,,,,,,,,
36.70,84.2833,85.5294,94.5172,94.4862,,,,,,,,,
37.77,84.9324,85.7523,94.7383,94.7034,,,,,,,,,
38.88,85.4017,85.9640,94.9479,94.9087,,,,,,,,,
40.02,85.8535,86.1650,95.1468,95.1029,,,,,,,,,
41.19,86.1545,86.3551,95.3345,95.2852,,,,,,,,,
42.40,86.4382,86.5349,95.5119,95.4566,,,,,,,,,
43.65,86.7222,86.7049,95.6794,95.6173,,,,,,,,,
44.93,87.0063,86.8655,95.8373,95.7677,,,,,,,,,
46.24,86.8071,87.0128,95.9816,95.9035,,,,,,,,,
47.60,86.5428,87.1498,96.1155,96.0279,,,,,,,,,
48.99,86.1225,87.2754,96.2380,96.1397,,,,,,,,,
50.43,85.6801,87.3910,96.3502,96.2399,,,,,,,,,
51.91,85.6674,87.5031,96.4586,96.3349,,,,,,,,,
53.43,85.7223,87.6081,96.5598,96.4211,,,,,,,,,
55.00,86.0208,87.7099,96.6576,96.5020,,,,,,,,,
56.61,86.3590,87.8064,96.7497,96.5753,,,,,,,,,
58.27,86.7269,87.8980,96.8369,96.6413,,,,,,,,,
59.98,87.1002,87.9851,96.9192,96.6999,,,,,,,,,
61.74,87.3566,88.0648,96.9939,96.7481,,,,,,,,,
63.55,87.5907,88.1397,97.0634,96.7879,,,,,,,,,
65.41,87.7873,88.2094,97.1274,96.8188,,,,,,,,,
67.33,87.9764,88.2752,97.1873,96.8416,,,,,,,,,
69.31,88.1985,88.3394,97.2451,96.8580,,,,,,,,,
71.34,88.4278,88.4016,97.3006,96.8672,,,,,,,,,
73.43,88.6324,88.4608,97.3528,96.8677,,,,,,,,,
75.59,88.8314,88.5183,97.4029,96.8602,,,,,,,,,
77.80,88.9423,88.5691,97.4458,96.8389,,,,,,,,,
80.08,89.0320,88.6168,97.4852,96.8067,,,,,,,,,
82.43,89.1573,88.6661,97.5257,96.7676,,,,,,,,,
84.85,89.2915,88.7158,97.5661,96.7195,,,,,,,,,
87.34,89.3200,88.7549,97.5955,96.6505,,,,,,,,,
89.90,89.3200,88.7894,97.6196,96.5656,,,,,,,,,
92.53,89.3667,88.8278,97.6471,96.4723,,,,,,,,,
95.25,89.4265,88.8675,97.6753,96.3669,,,,,,,,,
98.04,89.3937,88.8931,97.6887,96.2327,,,,,,,,,
100.92,89.3340,88.9116,97.6945,96.0757,,,,,,,,,
103.88,89.2095,88.9147,97.6842,95.8862,86.9192,92.6886,78.1239,,,,,,
106.92,89.0653,88.9080,97.6632,95.6685,87.9884,93.7436,79.9862,,,,,,
110.06,89.1392,88.9432,97.6835,95.4730,87.6101,93.3504,80.3814,,,,,,
113.28,89.2837,88.9974,97.7219,95.2755,86.7630,92.4875,80.2867,,,,,,
116.61,89.3200,89.0276,97.7356,95.0317,87.2582,92.9661,81.5120,,,,,,
120.03,89.3200,89.0480,97.7385,94.7544,88.2042,93.8947,83.1645,,,,,,
123.54,89.2132,89.0336,97.7058,94.4176,88.7705,94.4427,84.4124,,,,,,
127.17,89.0688,89.0001,97.6530,94.0356,89.2036,94.8564,85.5010,,,,,,
130.90,89.0300,88.9967,97.6293,93.6567,89.4583,95.0909,86.3843,,,,,,
134.74,89.0300,89.0054,97.6166,93.2618,89.6475,95.2588,87.1741,,,,,,
138.69,89.0300,89.0130,97.6019,92.8371,89.7252,95.3141,87.8235,,,,,,
142.75,89.0300,89.0195,97.5850,92.3820,89.7600,95.3254,88.4006,,,,,,
146.94,89.0300,89.0252,97.5660,91.8961,89.7451,95.2859,88.8982,,,,,,
151.25,89.0300,89.0300,97.5449,91.3791,89.7103,95.2252,89.3455,,,,,,
155.68,89.0300,89.0340,97.5218,90.8311,89.7000,95.1878,89.7872,,,,,,
160.25,89.0300,89.0373,97.4967,90.2523,89.7000,95.1595,90.2090,,,,,,
164.95,88.8357,88.9245,97.3543,89.5276,89.7243,95.1541,90.6253,,,,,,
169.79,88.5568,88.7479,97.1466,88.7096,89.7591,95.1578,91.0227,,,,,,
174.76,88.5283,88.7182,97.0844,88.0099,89.8214,95.1876,91.4187,,,,,,
179.89,88.6129,88.7633,97.0956,87.3571,89.8961,95.2284,91.7992,,,,,,
185.16,88.6773,88.7986,97.0954,86.6674,90.0487,95.3455,92.2306,,,,,,
190.59,88.7320,88.8301,97.0900,85.9480,90.2379,95.4977,92.6726,,,,,,
196.18,88.8035,88.8768,97.0980,85.2189,90.3000,95.5213,92.9625,,,,,,
201.94,88.8832,88.9329,97.1139,84.4756,90.3000,95.4811,93.1667,,,,,,
207.86,88.9662,88.9949,97.1341,83.7158,90.1975,95.3368,93.2459,,,,,,
213.95,89.0509,89.0614,97.1572,82.9394,90.0431,95.1389,93.2518,,,,,,
220.23,89.1584,89.1496,97.2002,82.1647,90.0063,95.0569,93.3555,63.2568,65.6591,10.3782,1.6257,93.6737,95.4707
226.69,89.2778,89.2513,97.2549,81.3849,90.0312,95.0349,93.5020,63.9835,66.3578,12.0332,3.2807,93.7608,95.4253
233.33,89.3200,89.2903,97.2453,80.5250,90.1237,95.0787,93.6986,64.6104,66.9558,13.5855,4.8330,93.9028,95.4221
240.18,89.3200,89.2936,97.1981,79.6130,90.2532,95.1577,93.9157,65.1829,67.4984,15.0806,6.3281,94.0741,95.4466
247.22,89.2278,89.2153,97.0676,78.6045,90.2746,95.1269,94.0096,65.6348,67.9195,16.4522,7.6997,94.1329,95.3716
254.47,89.0834,89.0880,96.8863,77.5329,90.2347,95.0330,94.0280,66.0183,68.2713,17.7525,9.0000,94.1243,95.2402
261.93,88.9735,88.9886,96.7311,76.4763,90.2765,95.0190,94.1150,66.4897,68.7101,19.1378,10.3853,94.1891,95.1866
269.61,88.8839,88.9055,96.5904,75.4240,90.3661,95.0510,94.2375,67.0125,69.1994,20.5717,11.8192,94.2942,95.1808
277.52,88.8190,88.8438,96.4693,74.3820,90.4868,95.1123,94.3798,67.4889,69.6413,21.9561,13.2036,94.4230,95.2085
285.65,88.7692,88.7952,96.3595,73.3430,90.6262,95.1905,94.5304,67.9370,70.0541,23.3094,14.5569,94.5633,95.2575
294.03,88.7500,88.7746,96.2761,72.3227,90.6097,95.1112,94.5154,68.3178,70.3988,24.5924,15.8400,94.5415,95.1662
302.65,88.7500,88.7722,96.2091,71.3118,90.4952,94.9321,94.3934,68.6563,70.7003,25.8303,17.0778,94.4147,94.9833
311.53,88.8344,88.8501,96.2206,70.3733,90.4952,94.8658,94.3776,69.1124,71.1187,27.1829,18.4304,94.3948,94.9101
320.66,88.9738,88.9816,96.2842,69.4812,90.5699,94.8725,94.4287,69.6453,71.6132,28.6096,19.8571,94.4426,94.9083
330.07,88.9468,88.9549,96.1880,68.4242,90.6922,94.9252,94.5203,70.2257,72.1545,30.0809,21.3284,94.5310,94.9423
339.75,88.8073,88.8198,95.9818,67.2527,90.8465,95.0085,94.6373,70.8381,72.7271,31.5815,22.8290,94.6452,95.0029
349.71,88.7500,88.7631,95.8525,66.1540,90.9100,94.9994,94.6572,71.3977,73.2464,33.0266,24.2741,94.6633,94.9801
359.96,88.7500,88.7617,95.7771,65.1056,90.9100,94.9254,94.6079,71.9205,73.7283,34.4322,25.6797,94.6127,94.8970
370.52,88.7500,88.7605,95.7006,64.0527,90.8869,94.8270,94.5299,72.4577,74.2241,35.8496,27.0971,94.5338,94.7897
381.39,88.7500,88.7594,95.6229,62.9956,90.8471,94.7105,94.4302,73.0053,74.7299,37.2748,28.5223,94.4333,94.6643
392.57,88.6703,88.6805,95.4662,61.8569,90.8101,94.5958,94.3285,73.5472,75.2297,38.6919,29.9394,94.3310,94.5378
404.08,88.5309,88.5426,95.2494,60.6558,90.7752,94.4821,94.2244,74.0849,75.7250,40.1022,31.3498,94.2263,94.4107
415.93,88.3887,88.4015,95.0285,59.4484,90.7376,94.3646,94.1131,74.6002,76.1976,41.4877,32.7352,94.1145,94.2794
428.13,88.2444,88.2579,94.8042,58.2357,90.6978,94.2440,93.9954,75.0981,76.6527,42.8533,34.1008,93.9966,94.1444
440.68,88.3373,88.3482,94.8130,57.2544,90.6165,94.0813,93.8323,75.5629,77.0746,44.1835,35.4310,93.8333,93.9705
453.61,88.6213,88.6276,95.0102,56.4600,90.5019,93.8846,93.6320,76.0012,77.4700,45.4848,36.7323,93.6328,93.7637
466.91,88.7173,88.7220,95.0219,55.4787,90.4337,93.7336,93.4741,76.4422,77.8681,46.7862,38.0337,93.4748,93.5973
480.60,88.6576,88.6623,94.8791,54.3417,90.4038,93.6206,93.3508,76.8853,78.2684,48.0873,39.3348,93.3514,93.4647
494.69,88.1961,88.2042,94.3375,52.8049,90.4275,93.5608,93.2772,77.3766,78.7172,49.4341,40.6816,93.2777,93.3793
509.20,87.3895,87.4027,93.4524,50.9236,90.4972,93.5469,93.2458,77.9094,79.2076,50.8196,42.0671,93.2461,93.3358
524.13,86.8228,86.8384,92.8044,49.2785,90.5405,93.5066,93.1841,78.5080,79.7643,52.2683,43.5159,93.1843,93.2676
